"author1";"author2";"count(*)"
"Bernhard Haslhofer";"P. Piotrowski";"1"
"Bernhard Haslhofer";"Sebastian Ryszard Kruk";"1"
"Bernhard Haslhofer";"T. Woroniecki";"1"
"Bolette Sandford Pedersen";"Costanza Navarretta";"1"
"Bolette Sandford Pedersen";"Dorte Haltrup Hansen";"1"
"Boris Lauser";"Dagobert Soergel";"1"
"Boris Lauser";"Frehiwot Fisseha";"1"
"Boris Lauser";"Johannes Keizer";"2"
"Boris Lauser";"M. Sini";"1"
"Boris Lauser";"Stephen Katz";"2"
"Brian Matthews";"Dan Brickley";"1"
"Brian Matthews";"Dave Beckett";"1"
"Brian Matthews";"Ken Miller";"1"
"Brian Matthews";"Michael Wilson";"1"
"Brian Matthews";"Nikki Rogers";"1"
"Brigitte Mathiak";"Philipp Mayr";"1"
"Brigitte Mathiak";"Sascha Schüller";"1"
"Brigitte Mathiak";"Wilko van Hoek";"1"
"Carmen Reverté";"Montserrat Sebastià Salat";"1"
"Carol Hickey";"Diane Vizine-Goetz";"1"
"Carol Hickey";"Roger Thompson";"1"
"Caroline Williams";"Ceri Binding";"1"
"Caroline Williams";"Douglas Tudhope";"1"
"Caroline Williams";"Janine Rigby";"1"
"Caterina Caracciolo";"Gudrun Johannsen";"1"
"Caterina Caracciolo";"Imma Subirats";"1"
"Caterina Caracciolo";"Johannes Keizer";"1"
"Caterina Caracciolo";"Sachit Rajbhandari";"1"
"Caterina Caracciolo";"Stephan Stipdonk";"1"
"Caterina Caracciolo";"Yves Jacques";"1"
"Ceri Binding";"Diana Massam";"1"
"Ceri Binding";"Douglas Tudhope";"7"
"Ceri Binding";"Hilary Jones";"1"
"Ceri Binding";"Jae-wook Ahn";"1"
"Ceri Binding";"Janine Rigby";"1"
"Ceri Binding";"Michael Khoo";"2"
"Ceri Binding";"Xia Lin";"1"
"Christian Lang";"Karolina Suchowolec";"1"
"Christian Lang";"Roman Schneider";"1"
"Christian Wartena";"Douglas Tudhope";"1"
"Christian Wartena";"Ernesto William De Luca";"1"
"Christian Wartena";"Koraljka Golub";"1"
"Christian Wartena";"Philipp Mayr";"1"
"Christian Wolff";"Markus Heckner";"1"
"Christian Wolff";"Susanne Mühlbacher";"1"
"Christoph Wieser";"François Bry";"1"
"Christopher Jones";"Douglas Tudhope";"1"
"Christopher Jones";"Harith Alani";"1"
"Claire-Lise Mottaz Jiang";"Gilles Falquet";"2"
"Claire-Lise Mottaz Jiang";"Jean-Claude Ziswiler";"2"
"Claire-Lise Mottaz Jiang";"Luka Nerima";"2"
"Claudio Gnoli";"Cristina Recinella";"1"
"Claudio Gnoli";"Hong Mei";"1"
"Claudio Gnoli";"Laura Pusterla";"1"
"Costanza Navarretta";"Dorte Haltrup Hansen";"1"
"Craig Willis";"David Rodríguez Mateos";"1"
"Craig Willis";"Eva Méndez";"1"
"Craig Willis";"Gema Bueno de la Fuente";"1"
"Craig Willis";"Jane Greenberg";"1"
"Craig Willis";"Joan Boone";"1"
"Craig Willis";"Liliana Melgar";"1"
"Craig Willis";"Nancy Gómez";"1"
"Cressida Chappell";"David Medyckyj-Scott";"1"
"Cressida Chappell";"James Reid";"1"
"Cristina Recinella";"Laura Pusterla";"1"
"D. Nicholson";"E. McCulloch";"1"
"Dagobert Soergel";"Douglas Tudhope";"1"
"Dagobert Soergel";"Emlyn Everitt";"1"
"Dagobert Soergel";"Frehiwot Fisseha";"1"
"Dagobert Soergel";"George Buchanan";"1"
"Dagobert Soergel";"Jae-wook Ahn";"1"
"Dagobert Soergel";"Johannes Keizer";"1"
"Dagobert Soergel";"Katy Newton";"1"
"Dagobert Soergel";"Koraljka Golub";"1"
"Dagobert Soergel";"Marianne Lykke Nielsen";"1"
"Dagobert Soergel";"Murtha Baca";"1"
"Dagobert Soergel";"Stephen Katz";"1"
"Dagobert Soergel";"Vanda Broughton";"1"
"Dagobert Soergel";"Xia Lin";"2"
"Dan Brickley";"Michael Wilson";"1"
"Dave Beckett";"Nikki Rogers";"1"
"David Bearman";"Jennifer Trant";"1"
"David Medyckyj-Scott";"James Reid";"1"
"David Rodríguez Mateos";"Eva Méndez";"1"
"David Rodríguez Mateos";"Gema Bueno de la Fuente";"1"
"David Rodríguez Mateos";"Jane Greenberg";"1"
"David Rodríguez Mateos";"Joan Boone";"1"
"David Rodríguez Mateos";"Liliana Melgar";"1"
"David Rodríguez Mateos";"Nancy Gómez";"1"
"Diana Massam";"Douglas Tudhope";"1"
"Diana Massam";"Hilary Jones";"1"
"Diana Massam";"Jae-wook Ahn";"1"
"Diana Massam";"Michael Khoo";"1"
"Diana Massam";"Xia Lin";"1"
"Diane Hillmann";"Farah Gheriss";"1"
"Diane Hillmann";"George Thomas";"1"
"Diane Hillmann";"Helga Rippen";"1"
"Diane Hillmann";"Joe Hilger";"1"
"Diane Hillmann";"Leslie Mitchell";"1"
"Diane Vizine-Goetz";"Roger Thompson";"1"
"Dimitra Atsidis";"Hugo Manguinhas";"1"
"Dimitra Atsidis";"Maarten Brinkerink";"1"
"Dimitra Atsidis";"Michiel Hildebrand";"1"
"Dimitra Atsidis";"Sergiu Gordea";"1"
"Dimitra Atsidis";"Tom Miles";"1"
"Dimitra Atsidis";"Valentine Charles";"1"
"Dimitra Atsidis";"V{\'{e}}ronique Ginouv{\`{e}}s";"1"
"Donald Shoemaker";"Edward Fox";"1"
"Donald Shoemaker";"Naren Ramakrishnan";"1"
"Donald Shoemaker";"Steve Sheetz";"1"
"Donald Shoemaker";"Uma Murthy";"1"
"Donald Shoemaker";"Venkataraghavan Srinivasan";"1"
"Douglas Tudhope";"Emlyn Everitt";"1"
