"115";"STW Thesaurus for economics web service applied to library applications";"Joachim Neubert";"Timo Borst";"2009"
"117";"UDC facets";"Aida Slavic";"Claudio Gnoli";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"George Buchanan";"Koraljka Golub";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"Emlyn Everitt";"Koraljka Golub";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"Dagobert Soergel";"Koraljka Golub";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"Douglas Tudhope";"Koraljka Golub";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Edward Fox";"Uma Murthy";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Naren Ramakrishnan";"Uma Murthy";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Andrea Kavanaugh";"Uma Murthy";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Steve Sheetz";"Uma Murthy";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Donald Shoemaker";"Uma Murthy";"2009"
"127";"SKOS and semantic web best practice to access terminological resources: NatureSDIPlus and CHRONIOUS hands-on experience";"Monica De Martino";"Riccardo Albertoni";"2010"
"127";"SKOS and semantic web best practice to access terminological resources: NatureSDIPlus and CHRONIOUS hands-on experience";"Franca Giannini";"Riccardo Albertoni";"2010"
"130";"Indexing Audiovisual Heritage in Germany by SKOSification of Existing Vocabularies";"Harald Sack";"Johannes Hercher";"2010"
"134";"Search term recommendation and non-textual ranking evaluated";"Peter Mutschke";"Philipp Mayr";"2010"
"135";"Using Linked Data in Thesaurus Management";"Andreas Blumauer";"Thomas Schandl";"2010"
"135";"Using Linked Data in Thesaurus Management";"Helmut Nagy";"Thomas Schandl";"2010"
"136";"The public library catalogue as a social space: Transaction log analysis of user interaction with social discovery systems";"Laurel Tarulli";"Louise Spiteri";"2010"
"136";"The public library catalogue as a social space: Transaction log analysis of user interaction with social discovery systems";"Alyssa Graybeal";"Louise Spiteri";"2010"
"141";"ISO 25964-1: a new standard for development of thesauri and exchange of thesaurus data";"Johan De Smedt";"Stella Dextre Clarke";"2011"
"144";"Quality Criteria for Controlled Web Vocabularies";"Bernhard Haslhofer";"Christian Mader";"2011"
"146";"A Collaborative Framework for Managing and Publishing KOS";"Ahsan Morshed";"Armando Stellato";"2011"
"149";"Comparing the accuracy of the semantic similarity provided by the Normalized Google Distance (NGD) and the Search Term Recommender (STR)";"Brigitte Mathiak";"Wilko van Hoek";"2011"
"149";"Comparing the accuracy of the semantic similarity provided by the Normalized Google Distance (NGD) and the Search Term Recommender (STR)";"Philipp Mayr";"Wilko van Hoek";"2011"
"149";"Comparing the accuracy of the semantic similarity provided by the Normalized Google Distance (NGD) and the Search Term Recommender (STR)";"Sascha Schüller";"Wilko van Hoek";"2011"
"151";"Extracting Dewey Decimal Classifications from Dublin Core Metadata Records With the DISTIL Project: Preliminary Findings and Observations";"Douglas Tudhope";"Michael Khoo";"2012"
"151";"Extracting Dewey Decimal Classifications from Dublin Core Metadata Records With the DISTIL Project: Preliminary Findings and Observations";"Ceri Binding";"Michael Khoo";"2012"
"153";"Creation of custom KOS-based recommendation systems";"Philipp Schaer";"Thomas Lüke";"2012"
"153";"Creation of custom KOS-based recommendation systems";"Philipp Mayr";"Thomas Lüke";"2012"
"154";"Demonstrating HIVE and HIVE-ES: Supporting Term Browsing and Automatic Text Indexing with Linked Open Vocabularies";"Craig Willis";"David Rodríguez Mateos";"2012"
"155";"Meaningful Concept Displays: The First Step";"Dagobert Soergel";"Xia Lin";"2012"
"155";"Meaningful Concept Displays: The First Step";"Murtha Baca";"Xia Lin";"2012"
"161";"An Extensible Recommendation System to support Trusted Digital Repositories";"Andrea Scharnhorst";"Eko Indarto";"2013"
"165";"On Compositionality of ISO 25964 Hierarchical Relationships (BTG, BTP, BTI)";"Antoine Isaac";"Vladimir Alexiev";"2014"
"165";"On Compositionality of ISO 25964 Hierarchical Relationships (BTG, BTP, BTI)";"Jutta Lindenthal";"Vladimir Alexiev";"2014"
"168";"Recommender Systems using Pennant Diagrams in Digital Libraries";"Philipp Mayr";"Zeljko Carevic";"2014"
"169";"PROV-O profile creation for describing and tracking editorial actions on Controlled Vocabularies";"Agis Papantoniou";"Jean Delahousse";"2014"
"170";"The ESCO platform for a collaborative NKOS development";"Agis Papantoniou";"Johan De Smedt";"2014"
"172";"Meaningful Concept Displays for KOS Mapping";"Jae-wook Ahn";"Xia Lin";"2014"
"172";"Meaningful Concept Displays for KOS Mapping";"Dagobert Soergel";"Xia Lin";"2014"
"174";"The Cocoda Mapping Tool";"Jakob Voß";"Uma Balakrishnan";"2015"
"178";"Report on and demonstration of the PeriodO period gazetteer";"Adam Rabinowitz";"Ryan Shaw";"2015"
"178";"Report on and demonstration of the PeriodO period gazetteer";"Patrick Golden";"Ryan Shaw";"2015"
